sample_id,domain,location,location_key,county,sample_date,compliant,bucket,norms_violation,violated_params,unmeasured_norm_params,n_measured_norm_params
349126,joogivesi,Tiskre prk — Tiskre prk proovivõtukraan,tiskre prk tiskre prk proovivõtukraan,,2024-02-27 00:00:00,1,hidden_pass,True,manganese|iron,color,13
349513,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-02-26 00:00:00,1,hidden_pass,True,coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349512,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-02-19 00:00:00,1,hidden_pass,True,coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349511,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-02-12 00:00:00,1,hidden_pass,True,manganese|coliforms,nitrites|color,12
349510,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-02-05 00:00:00,1,hidden_pass,True,coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349509,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-01-29 00:00:00,1,hidden_pass,True,coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349123,joogivesi,Merivälja prk — Merivälja prk proovivõtukraan,merivälja prk merivälja prk proovivõtukraan,,2024-01-23 00:00:00,1,hidden_pass,True,ammonium|manganese|iron,color,13
349508,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-01-22 00:00:00,1,hidden_pass,True,manganese|coliforms,nitrites|color,12
324916,joogivesi,Mustajõe veehaare — Narva veepuhastusjaama pinnaveesisend,mustajõe veehaare narva veepuhastusjaama pinnaveesisend,,2024-01-16 00:00:00,1,hidden_pass,True,color,e_coli|enterococci|nitrites|fluoride|manganese|coliforms,8
349507,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-01-15 00:00:00,1,hidden_pass,True,coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
